days_from_20160101,stimchoice1,stimchoice2,stimchosen,correct_stim,is_choice_color,chose_correct
31,9,5,9,5,0,0
31,12,11,12,11,1,0
31,10,1,10,1,0,0
31,2,9,2,9,0,0
31,0,11,0,0,0,1
31,10,6,10,10,0,1
31,1,13,1,13,1,0
31,3,9,3,3,1,1
31,4,1,4,4,1,1
31,13,6,6,6,0,1
31,6,11,6,11,1,0
31,8,2,8,8,1,1
31,2,4,2,4,0,0
31,13,3,13,13,0,1
31,1,10,1,10,0,0
31,10,8,10,10,1,1
31,13,3,13,13,0,1
31,10,3,3,3,0,1
31,6,8,6,6,0,1
31,4,3,4,4,1,1
31,6,13,6,13,1,0
31,6,9,6,9,0,0
31,0,11,0,0,0,1
31,5,9,9,9,0,1
31,13,6,13,13,1,1
31,1,8,1,8,1,0
31,9,3,9,9,1,1
31,9,4,9,9,0,1
31,5,1,5,1,1,0
31,13,13,13,13,1,1
31,7,10,7,10,1,0
31,10,12,10,10,1,1
31,2,12,2,2,0,1
31,11,7,11,11,1,1
31,6,13,6,6,1,1
31,7,5,7,7,0,1
31,0,10,0,0,0,1
31,6,9,6,9,0,0
31,11,9,11,9,0,0
31,3,4,3,3,1,1
31,11,6,11,6,1,0
31,13,0,13,0,1,0
31,2,11,2,2,1,1
31,3,12,3,12,0,0
31,7,6,7,7,1,1
31,10,8,10,10,1,1
31,10,0,10,0,1,0
31,11,8,11,11,1,1
31,0,3,0,0,1,1
31,3,4,3,3,1,1
31,1,6,1,1,0,1
31,6,1,6,6,0,1
31,8,13,8,8,1,1
31,1,10,1,10,1,0
31,7,4,7,4,0,0
31,3,12,3,12,0,0
31,10,12,10,10,1,1
31,1,9,1,9,0,0
31,12,13,12,12,1,1
31,4,7,4,7,1,0
31,11,13,11,13,1,0
31,11,10,11,11,1,1
31,11,4,11,4,0,0
31,1,4,1,4,0,0
31,2,1,2,1,1,0
31,4,5,4,4,1,1
31,11,10,11,10,0,0
31,1,13,1,1,0,1
31,11,12,11,12,0,0
31,12,12,12,12,0,1
31,6,12,6,12,1,0
31,12,9,12,12,0,1
31,2,12,12,2,0,0
31,4,0,4,0,1,0
31,13,8,13,8,0,0
31,1,5,1,1,1,1
31,3,2,3,3,1,1
31,10,7,7,7,0,1
31,3,3,3,3,0,1
31,6,4,6,6,1,1
31,3,4,3,4,1,0
31,13,10,10,10,0,1
31,3,6,3,3,0,1
31,13,10,13,10,0,0
31,4,3,3,3,1,1
31,8,5,8,8,0,1
31,6,3,6,6,1,1
31,4,2,2,2,0,1
31,1,3,1,3,1,0
31,6,4,6,6,1,1
31,5,6,5,5,1,1
31,6,7,6,6,0,1
31,1,4,1,1,1,1
31,1,12,1,12,0,0
31,5,0,0,0,0,1
31,10,6,10,6,1,0
31,1,8,1,8,1,0
31,10,12,10,10,0,1
31,10,3,3,3,0,1
31,9,1,9,9,1,1
31,8,5,8,5,1,0
31,12,13,12,13,0,0
31,12,0,12,0,1,0
31,7,11,11,11,0,1
31,4,1,4,1,1,0
31,11,10,11,11,0,1
31,8,0,0,0,0,1
31,6,5,6,5,1,0
31,10,6,10,10,0,1
31,4,10,4,10,0,0
31,8,3,8,8,1,1
31,13,6,13,13,1,1
31,8,6,8,6,1,0
31,12,7,12,12,0,1
31,8,11,11,11,0,1
32,10,1,10,1,0,0
32,0,11,0,0,1,1
32,10,6,10,10,1,1
32,3,1,3,3,0,1
32,0,8,0,0,0,1
32,4,11,4,11,1,0
32,8,12,8,8,0,1
32,5,0,5,5,1,1
32,11,13,11,13,1,0
32,12,6,6,6,0,1
32,7,3,7,7,1,1
32,0,1,0,0,0,1
32,12,13,12,13,1,0
32,1,5,1,1,0,1
32,3,0,0,3,1,0
32,2,7,2,2,1,1
32,3,2,2,2,0,1
32,0,5,0,0,1,1
32,7,0,0,0,0,1
32,1,2,1,1,1,1
32,7,0,0,0,0,1
32,13,12,12,12,0,1
32,5,9,5,5,0,1
32,8,6,8,8,0,1
32,7,8,7,7,0,1
32,1,12,12,12,0,1
32,2,8,2,8,0,0
32,7,10,7,10,1,0
32,2,0,2,2,1,1
32,2,1,1,1,0,1
32,5,8,8,8,1,1
32,9,0,9,9,0,1
32,4,11,11,11,0,1
32,2,6,6,6,0,1
32,0,9,0,0,0,1
32,1,0,1,0,1,0
32,5,1,5,1,1,0
32,11,0,11,11,0,1
32,3,11,3,3,0,1
32,7,1,1,1,0,1
32,6,3,6,6,1,1
32,10,5,5,5,0,1
32,4,10,4,4,0,1
32,5,3,5,5,1,1
32,0,13,0,0,0,1
32,5,11,5,11,1,0
32,7,7,7,7,0,1
32,1,4,1,1,1,1
32,10,2,10,10,1,1
32,5,8,5,8,0,0
32,11,6,11,11,0,1
32,3,12,3,3,1,1
32,9,12,12,12,0,1
32,8,0,8,8,1,1
32,2,4,2,2,0,1
32,6,10,10,10,0,1
32,8,7,8,8,1,1
32,2,9,9,9,0,1
32,2,2,2,2,1,1
32,12,4,12,12,0,1
32,0,7,0,0,1,1
32,9,13,13,9,1,0
32,11,0,11,11,0,1
32,10,13,10,10,0,1
32,8,5,8,5,1,0
32,9,7,9,9,0,1
32,2,12,2,2,0,1
32,6,5,6,6,1,1
32,1,11,1,11,1,0
32,5,8,8,8,0,1
32,11,3,11,3,1,0
32,4,11,4,4,0,1
32,1,12,12,12,0,1
32,6,1,6,6,0,1
32,12,9,12,9,0,0
32,12,8,12,12,0,1
32,7,8,8,8,0,1
32,6,6,6,6,0,1
32,5,5,5,5,0,1
32,10,6,10,6,1,0
32,10,11,10,10,1,1
32,2,5,2,5,1,0
32,12,2,12,12,0,1
32,8,11,8,11,1,0
32,12,11,12,12,1,1
32,2,4,2,2,1,1
32,0,8,0,0,0,1
32,12,2,12,12,0,1
32,3,2,3,3,1,1
32,11,0,0,0,1,1
32,8,7,8,8,1,1
32,0,10,0,0,0,1
32,9,2,2,2,1,1
32,13,6,6,6,0,1
32,8,3,8,8,1,1
32,12,8,8,8,0,1
32,12,0,12,12,1,1
32,8,2,8,8,1,1
32,12,6,12,12,0,1
32,5,11,5,5,0,1
32,7,10,7,10,0,0
32,10,7,10,10,0,1
32,2,6,6,6,1,1
32,10,8,10,8,1,0
32,2,9,2,9,1,0
32,13,10,10,10,0,1
32,2,13,2,13,0,0
32,13,12,13,13,1,1
32,11,10,11,11,0,1
32,1,13,1,13,1,0
32,9,11,9,9,1,1
32,7,10,7,10,1,0
32,6,5,6,6,0,1
32,3,2,3,3,1,1
32,1,10,1,1,1,1
32,11,5,11,5,0,0
32,4,7,7,7,1,1
32,5,8,8,8,0,1
32,9,10,9,9,0,1
32,2,9,2,9,1,0
32,0,5,0,0,1,1
32,3,12,3,12,1,0
32,9,12,9,9,1,1
32,5,1,1,1,0,1
32,6,13,6,13,1,0
32,6,12,6,12,1,0
32,7,4,4,4,0,1
32,9,3,3,3,1,1
32,6,7,6,7,1,0
32,6,8,6,8,1,0
32,3,1,3,3,1,1
32,10,12,10,12,0,0
32,10,0,0,0,1,1
32,4,0,0,0,0,1
32,1,8,1,8,0,0
32,3,10,3,3,1,1
32,11,6,11,11,1,1
32,9,10,9,9,1,1
32,11,8,11,11,0,1
32,3,9,3,3,1,1
32,5,13,13,13,1,1
32,8,4,4,8,1,0
32,8,7,8,8,0,1
32,2,3,2,2,0,1
32,4,7,7,7,1,1
32,2,7,7,7,0,1
33,8,11,11,11,0,1
33,11,0,11,11,1,1
33,12,7,12,7,1,0
33,6,8,6,6,1,1
33,3,4,4,4,0,1
33,7,1,1,1,0,1
33,1,8,1,1,0,1
33,4,7,4,7,1,0
33,3,6,3,3,0,1
33,1,8,1,1,1,1
33,3,13,3,3,1,1
33,1,0,1,1,0,1
33,6,10,6,10,1,0
33,13,10,13,13,1,1
33,10,11,10,10,1,1
33,8,3,8,8,0,1
33,3,7,3,3,0,1
33,3,11,3,3,0,1
33,3,12,3,3,0,1
33,10,10,10,10,0,1
